sep=;
dias;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total
19;19735.10;18876.40;18255.10;17799.70;17484.70;17266.40;17120.10;18122.30;20722.40;23865.70;24958.30;25479.90;24096.20;23343.10;24613.20;26442.00;26294.90;25455.80;24627.30;24521.80;23324.50;22653.90;22098.70;21047.40;528204.80
20;19563.70;18879.00;18684.00;18162.20;17830.70;17657.40;17616.70;18688.00;21258.80;24067.30;24579.00;24988.50;24093.70;23149.80;24841.30;26382.50;26077.00;25420.70;24821.50;25060.40;24008.60;23141.50;22194.70;20628.80;531795.80
21;20106.40;19336.20;18578.60;18076.40;17579.10;17509.10;17339.80;18544.70;21006.80;23723.60;24858.20;25456.60;24568.00;23609.50;24728.70;26518.90;26589.70;25842.90;24870.60;25395.60;24028.60;22727.80;22170.00;21031.70;534197.60
22;19958.00;19074.40;18288.30;17676.90;17279.80;17349.80;17392.70;18611.40;21143.70;24162.20;25370.00;25333.00;23380.50;21541.50;22319.80;24943.10;25155.80;24284.20;23589.90;23788.10;22502.90;21440.90;20736.40;19885.10;515208.70
23;19089.50;18222.10;17532.40;17010.40;16675.60;16480.20;16407.60;17260.10;19610.20;22457.70;23946.30;24185.40;23399.30;22040.10;22585.10;24299.40;24481.80;23958.70;23923.20;24354.50;22847.10;21700.70;21331.40;20830.00;504628.90
24;20178.40;19463.20;18830.10;18246.30;17892.40;17588.00;17109.30;17690.30;19135.90;21160.40;22574.70;22662.00;22404.60;21002.40;21101.50;21355.00;21387.20;22496.20;23043.60;23175.40;22411.40;22184.30;21816.10;21166.10;496074.80
25;20549.20;19820.60;19220.80;18520.10;18181.90;17937.30;17403.20;17924.20;19150.10;21246.60;22773.60;23023.20;22749.50;21162.50;21194.60;21203.10;21206.20;22307.30;22783.40;23897.50;23061.20;22388.40;22077.00;21227.00;501008.40
26;20409.80;19709.30;19021.40;18434.80;17989.70;17877.90;17759.70;18953.70;21684.40;24659.20;25831.20;26138.50;25367.80;24366.50;25456.00;27274.10;26916.40;26006.20;25150.20;25620.00;24253.00;23116.80;22476.90;21431.20;545904.80
27;20254.00;19527.50;18889.50;18364.10;18006.60;17847.60;17594.10;18923.80;21496.40;24533.40;25684.00;26098.30;25187.60;24280.20;25308.30;27105.30;27158.40;26314.20;25541.10;25965.60;24638.20;23656.90;23056.20;21671.60;547103.00
28;20572.40;19726.70;19093.40;18589.70;18192.10;18072.10;18032.00;19260.10;21673.40;24892.50;26055.30;26547.80;25515.10;24561.10;25759.80;27306.20;26571.20;25892.70;25048.50;25414.30;24215.00;23060.50;21705.30;21471.20;547228.50
